ID;datum;beschrijving;bankGegevens_ID;bedrag;valutaCode;facturerenAanKlant;status;OnkostenType_ID
82;9/9/2020;Persistent even-keeled frame;79;76.08;USD;true;IN VERWERKING;3
83;4/20/2021;Ameliorated regional hub;80;301.18;EUR;false;TOEGESTAAN;4
84;5/23/2020;Profound context-sensitive protocol;81;88.21;EUR;true;IN VERWERKING;5
85;6/16/2020;Future-proofed modular archive;83;482.41;EUR;true;IN VERWERKING;1
86;1/2/2021;User-friendly intangible contingency;85;452.74;EUR;false;BETAALD;6
87;9/13/2020;Decentralized transitional pricing structure;85;449.52;USD;true;IN VERWERKING;2
88;10/6/2020;Managed solution-oriented initiative;85;395.74;USD;false;TOEGESTAAN;3
89;12/12/2020;Horizontal local functionalities;86;46.42;USD;false;BETAALD;1
90;8/16/2020;Programmable executive superstructure;87;167.32;EUR;false;IN VERWERKING;5
91;2/18/2021;Upgradable modular capacity;88;485.59;EUR;false;AFGEWEZEN;5
92;9/19/2020;Profit-focused needs-based knowledge user;89;332.64;EUR;true;IN VERWERKING;2
93;10/30/2020;Right-sized directional task-force;90;252.81;EUR;false;BETAALD;3
94;1/8/2021;Automated contextually-based time-frame;92;130.79;USD;true;BETAALD;4
95;7/1/2020;Centralized web-enabled initiative;93;57.73;USD;false;IN VERWERKING;3
96;10/17/2020;Phased directional architecture;94;125.65;EUR;true;IN VERWERKING;6
97;10/15/2020;Switchable stable encoding;95;334.16;EUR;false;BETAALD;6
98;11/7/2020;Self-enabling coherent software;98;371.92;EUR;false;IN VERWERKING;2
99;3/16/2021;Upgradable 24 hour pricing structure;99;269.39;EUR;true;IN VERWERKING;1
100;12/31/2020;Optional composite leverage;100;266.08;USD;false;BETAALD;3
